1.0016,1.0049,1.4548,1.6281,5.6656,24.323,166.11,22044,7.2005e+10,-1.0752e+44,-5.5748e+65,-2.8904e+87,14.778
1.0035,1.0348,1.2159,1.4161,4.183,6.8445,18.083,6.105e+09,4.0322e+43,1.0839e+87,2.9136e+130,7.8322e+173,6
1.0036,1.0355,1.1777,1.3038,5.4197,7.2481,8,0,0,13,13,13,13
1.0038,1.038,1.1852,1.3621,2.5236,6.3325,14.879,14.999,-7.2058e+16,-2.6881e+43,-1.3937e+65,-7.226e+86,16
1.0038,1.0381,1.1723,1.4459,4.149,5.6737,-3.2722,-3.664,-1.8632e+06,-1.9807e+28,-4.6768e+49,2.6881e+43,15
1.0077,1.0763,1.3263,1.4903,3.0248,3.5692,5.9735,5.9963,-2.5319e+17,-2.8412e+54,7.4169e+81,3.8849e+130,6
1.004,1.0402,1.2308,1.4552,9.3219,11.061,21.404,21.665,0,0,0,0,22
1.0056,1.0575,1.3116,1.7832,9.1119,14.983,19.906,19.999,0,0,0,0,20
1.0049,1.05,1.2598,1.5253,-4.9999,11.5,17.544,17.666,-2.5923e+21,-6.0244e+92,-7.2515e+162,-2.8074e+201,18
1.0033,1.0277,1.1767,1.3477,2.1474,36.245,7.9844,8.0404,-5.3507e+05,-8.3803e+59,2.0733e+81,3.1634e+131,7.0351
1.0039,1.0392,1.2038,1.4263,3.4685,7.2135,8.3214,8.3333,8.3333,8.3333,8.3333,8.3333,8.3333
1.0051,1.0515,1.2618,1.538,3.8746,3.4028,13.047,13,13,-1.0486e+06,-7.2058e+16,0,13
1.0037,1.0368,1.1512,1.2664,1.5913,4.6965,9.9724,9.9998,-3.2419e+43,-1.3311e+87,2.7016e+131,6.1009e+189,11
1.0047,1.0473,1.234,1.5472,6.3316,15.821,22.986,23,23,23,23,23,23
1.0048,1.047,1.2326,0.6639,4.907,10.742,20.958,21,0,0,0,0,21
1.0058,1.0588,1.3226,4.9183,9.688,18.23,22.946,23,23,23,23,23,23
1.0038,1.0386,1.2027,1.4247,4.5911,9.872,18.851,18.999,0,0,0,0,21
1.0028,1.0274,1.1182,1.1698,-2.3654,5.9939,15.466,15.334,15.333,-2.8779e+05,-2.0724e+16,-1.4922e+27,15.333
1.0041,1.0412,1.2058,1.7254,3.8205,11.213,13.972,13.996,-1.2379e+27,-4.6768e+49,1.8971e+81,1.2313e+114,16
1.0016,0.99624,1.2965,1.5115,4.7301,10.384,18.905,19.003,7.2057e+16,-4.9253e+114,1.3937e+65,9.6687e+130,19
1.0036,1.036,1.1904,1.3915,4.3263,9.0966,14.958,15,0,-4.6768e+49,-1.8583e+65,-2.4087e+86,19
1.0042,1.0425,1.2168,1.4226,5.0585,12.825,11.135,11.138,-2.0972e+06,-5.1847e+21,2.3384e+49,6.9017e+71,14
1.0039,1.0377,1.1462,1.6819,5.4892,9.3455,14.879,14.999,15,15,15,15,15
1.0058,1.0584,1.2934,16.233,7.947,14.839,19.624,-1.4662,0,0,21,0,21
1.0034,1.0345,1.1745,1.3374,2.8341,3.439,12.084,12.181,-5.2429e+05,0,0,0,13
1.0145,1.1321,1.4783,1.504,2.8262,-5.8067,-15.028,-18.968,-19,-19,-19,-19,-19
1.003,1.0299,1.159,1.3203,5.037,7.4958,9.412,9.4285,-2.0364e+05,2.5924e+21,-9.3536e+49,1.3441e+43,12
